Company Name,Stock Code:Market,ISIN Code,HP Short Name
MTQ CORPORATION LIMITED,M05:SGX,SG0507000073,MTQ
FUJI OFFSET PLATES MFG LTD,508:CATALIST,SG0508000080,Fuji Offset
WING TAI HLDGS LTD,W05:SGX,SG1K66001688,Wing Tai
KEPPEL TELE & TRAN,K11:SGX,SG1J45001547,Keppel T&T
G. K. GOH HOLDINGS LIMITED,G41:SGX,SG1M32001976,G K Goh
SAN TEH LIMITED,S46:SGX,SG0525000196,San Teh
VENTURE CORPORATION LIMITED,V03:SGX,SG0531000230,Venture
EQUATION CORP LIMITED,532:CATALIST,SG0532000247,Equation
PCI LTD,P19:SGX,SG0534000260,PCI
ABR HOLDINGS LIMITED,533:SGX,SG0533000253,ABR
GRP LTD,G18:SGX,SG0535000277,GRP
POWERMATIC DATA SYSTEMS LTD,P12:SGX,SG0539000299,Powermatic Data
GIKEN SAKATA (S) LIMITED,542:CATALIST,SG0542000328,Giken Sakata
NOEL GIFTS INTERNATIONAL LTD,543:SGX,SG0543000335,Noel Gifts Intl
CWT LIMITED,C14:SGX,SG1C20001063,CWT
INFORMATICS EDUCATION LTD.,I03:SGX,SG0544000342,Informatics
IFS CAPITAL LIMITED,I49:SGX,SG1A35000706,IFS Capital
ROTARY ENGINEERING LIMITED,R07:SGX,SG1A43000730,Rotary Engg
HTL INT'L HOLDINGS LIMITED,H64:SGX,SG1A48000743,HTL Intl
PAN-UNITED CORPORATION LTD,P52:SGX,SG1A67000830,PanUnited
HUPSTEEL LTD,H73:SGX,SG1A77000903,HupSteel
DATAPULSE TECHNOLOGY LIMITED,D04:SGX,SG0558000436,Datapulse Tech
AZTECH GROUP LTD.,560:SGX,SG0560000457,Aztech
TECKWAH INDUSTRIAL CORP LTD,561:SGX,SG0561000464,Teckwah
TIH LIMITED,T55:SGX,SG1A82000914,TIH
NIPPECRAFT LIMITED,N32:SGX,SG1A83000921,Nippecraft^
TELEDATA (SINGAPORE) LTD,T28:SGX,SG0564006450,Teledata^
CREATIVE TECHNOLOGY LTD,C76:SGX,SG1A98006814,Creative 50
BAKER TECHNOLOGY LIMITED,568:SGX,SG0568007405,Baker Technology
SUPER GROUP LTD.,S10:SGX,SG0569007446,Super Group
KOH BROTHERS GROUP LIMITED,K75:SGX,SG1B06007705,Koh Bros
ELEC & ELTEK INT CO LTD,E16:SGX,SG1B09007736,Elec & Eltek USD
"NOMURA HOLDINGS, INC",N33:SGX,JP3762600009,Nomura Yen1k
SUNRIGHT LTD,S71:SGX,SG1B17008288,Sunright
BROADWAY INDUSTRIAL GROUP LTD,B69:SGX,SG1B21008464,Broadway Ind
ITE ELECTRIC CO LTD,581:CATALIST,SG0581008505,ITE Electric
OEL (HOLDINGS) LIMITED,584:CATALIST,SG0584008601,OEL
JARDINE MATHESON HLDGS LTD,J36:SGX,BMG507361001,JMH 400 USD
JARDINE STRATEGIC HLDGS LTD,J37:SGX,BMG507641022,JSH 500 USD
HONGKONG LAND HOLDINGS LIMITED,H78:SGX,BMG4587L1090,HongkongLand USD
MANDARIN ORIENTAL INTL LTD,M04:SGX,BMG578481068,Man Oriental USD
FU YU CORPORATION LTD,F13:SGX,SG1B56010922,Fu Yu
CHINA MERCHANTS PROP DEVTCOLTD,C03:SGX,CNE000000891,CMProp 100 HKD
VIBRANT GROUP LIMITED,F01:SGX,SG1B73011663,Vibrant Group
CASA HOLDINGS LIMITED,C04:SGX,SG1B93012089,Casa
VICOM LTD,V01:SGX,SG1C06012761,VICOM
KIAN HO BEARINGS LTD,K22:SGX,SG1C10012922,Kian Ho Bearings
THAKRAL CORPORATION LTD,T04:SGX,SG1C19013145,Thakral
ZAGRO ASIA LIMITED,Z01:SGX,SG1C95016004,Zagro Asia
LINDETEVES-JACOBERG LTD,L15:SGX,SG1D14016522,L-Jacoberg
F J BENJAMIN HOLDINGS LTD,F10:SGX,SG1D58018368,FJ Benjamin
NOBEL DESIGN HOLDINGS LTD,547:SGX,SG1D60018406,Nobel Design
OSSIA INTERNATIONAL LTD,O08:SGX,SG1D61018413,Ossia Intl
SINGAPORE INDEX FUND,S45U:SGX,SG1D68018564,SingIndexFund
SECOND CHANCE PROPERTIES LTD,528:SGX,SG1D93474618,Second Chance
CEDAR STRATEGIC HOLDINGS LTD,530:CATALIST,SG1D96849865,Cedar Strategic
ASJ HOLDINGS LTD,538:SGX,SG1D97850250,ASJ^
NEW TOYO INT HLDGS LTD,N08:SGX,SG1E32850828,New Toyo
RAFFLES MEDICAL GROUP LTD,R01:SGX,SG1E34851329,Raffles Medical
